Michael Wheeler:POK_lOv, POK_wDe, POK_ZYd:Derrota:Event_8/1/4:si
Mark Robles:POK_Jfn, POK_pos, POK_YlK:Derrota:Event_2/0/5:no
Dylan Lewis:POK_LwY, POK_Ucf, POK_EuG:Victoria:Event_6/0/5:no
Micheal Yang:POK_QOU, POK_YKh, POK_zkO:Derrota:Event_4/7/7:si
Darrell Armstrong:POK_fOH, POK_Zty, POK_Cna:Victoria:Event_9/2/7:no
Andrea Blevins:POK_WcI, POK_BFX, POK_ZrS:Victoria:Event_6/5/7:si
William Spencer:POK_LCJ, POK_JaQ, POK_jZF:Victoria:Event_9/8/9:no
Douglas Hubbard:POK_wDz, POK_QCH, POK_OvG:Derrota:Event_4/9/4:no
John Mullins:POK_ook, POK_PAZ, POK_cxg:Victoria:Event_8/4/7:no
James Rodgers:POK_rbQ, POK_pQD, POK_KZQ:Victoria:Event_4/6/2:no
Edward Cole:POK_IOV, POK_anV, POK_AEg:Derrota:Event_2/2/4:no
Stephanie Krause:POK_Ucw, POK_kEV, POK_psQ:Derrota:Event_1/2/0:no
Joseph Edwards:POK_vGm, POK_Jsr, POK_Dlk:Derrota:Event_5/2/8:no
Monique Bailey:POK_qWQ, POK_uau, POK_Usm:Derrota:Event_9/1/7:si
David Nelson:POK_MPu, POK_Qqh, POK_WyA:Victoria:Event_3/5/7:si
Joshua Silva:POK_nav, POK_QSh, POK_rds:Derrota:Event_6/4/6:si
Cathy Gomez:POK_Yhn, POK_LAS, POK_psj:Derrota:Event_0/4/3:no
Jennifer Murray:POK_BZK, POK_QiV, POK_rOF:Derrota:Event_9/8/7:no
Jennifer Lewis:POK_sOk, POK_JLE, POK_Avc:Derrota:Event_0/4/4:no
Emily Wright:POK_Xrx, POK_OPV, POK_ZaO:Victoria:Event_9/9/3:no
Wendy Christensen:POK_zNE, POK_iMu, POK_xJu:Victoria:Event_3/7/7:si
Jeremy Holmes:POK_CZr, POK_LJz, POK_zQd:Victoria:Event_4/5/0:no
Robert Roy:POK_RAz, POK_fnv, POK_PDU:Derrota:Event_8/5/9:si
Dillon Lopez Jr.:POK_Agl, POK_VSo, POK_CGW:Victoria:Event_8/0/9:no
Claire Martinez:POK_XRT, POK_Kkd, POK_dBQ:Derrota:Event_0/3/4:si
Robin Davis:POK_upn, POK_cDb, POK_rBX:Derrota:Event_7/6/1:no
Calvin Miller:POK_Jvk, POK_UBX, POK_sGm:Victoria:Event_3/8/3:si
Dawn Stephens:POK_YAg, POK_cGK, POK_JBg:Derrota:Event_4/6/4:no
Tina Brown:POK_TsN, POK_jUB, POK_rrx:Victoria:Event_9/3/6:no
Kristy Nelson:POK_tRa, POK_rhz, POK_UyO:Victoria:Event_5/5/2:si
Deborah White MD:POK_kch, POK_wxO, POK_PKE:Derrota:Event_6/5/9:si
Dale Roy:POK_tgO, POK_zgO, POK_wRC:Derrota:Event_9/9/8:no
David Robertson:POK_qlr, POK_UCI, POK_pTr:Derrota:Event_6/3/9:si
Bradley Roman:POK_TsH, POK_JTU, POK_sEi:Derrota:Event_1/8/6:no
Anne Medina:POK_rRk, POK_gZN, POK_kBs:Derrota:Event_3/8/0:si
Sydney Mcgee:POK_uUf, POK_NBd, POK_dcD:Victoria:Event_3/5/3:si
Stacy Shaw DVM:POK_siB, POK_vcc, POK_HZW:Derrota:Event_5/8/5:no
Sylvia Ramos:POK_BUM, POK_QfX, POK_dOV:Victoria:Event_6/4/8:no
James Braun:POK_jBr, POK_lGi, POK_vYG:Derrota:Event_6/1/7:no
Susan Henderson:POK_ZMJ, POK_FmN, POK_soY:Derrota:Event_0/4/3:no
Laurie Phillips:POK_tyQ, POK_Tkn, POK_hTJ:Victoria:Event_5/2/7:no
Tracy Owens:POK_jfg, POK_nSz, POK_jwy:Victoria:Event_6/1/1:si
Brian Boyd:POK_pYu, POK_UWe, POK_hVl:Victoria:Event_0/9/2:si
Joshua White:POK_qkz, POK_zRc, POK_RWZ:Derrota:Event_4/2/7:si
John Myers:POK_nzc, POK_ODM, POK_oRI:Victoria:Event_4/0/2:si
John Bond:POK_HAJ, POK_wYQ, POK_iqW:Derrota:Event_1/2/0:no
Jonathan Kane:POK_nsi, POK_gHr, POK_kxZ:Derrota:Event_2/9/2:si
Erin Miller:POK_cBT, POK_sGk, POK_OjK:Victoria:Event_9/1/7:si
Heather Lynch:POK_jAV, POK_qUD, POK_eRK:Victoria:Event_1/6/6:si
Elizabeth Brown:POK_TIV, POK_dyX, POK_URb:Victoria:Event_2/2/5:no
Heather Haynes:POK_mxJ, POK_FSV, POK_bpc:Derrota:Event_1/4/5:si
Aaron Johnson:POK_LXP, POK_ztm, POK_new:Victoria:Event_7/9/3:si
Mr. Travis Mckee:POK_TKA, POK_afg, POK_CCr:Victoria:Event_3/0/6:no
Rodney Edwards:POK_yKN, POK_PlT, POK_FdS:Victoria:Event_7/7/5:no
Kenneth Lucas:POK_wGG, POK_lfw, POK_Mtd:Victoria:Event_6/9/2:si
Mr. William Bennett:POK_RYc, POK_Lua, POK_Tnr:Derrota:Event_1/4/6:si
Justin Rodriguez MD:POK_AVD, POK_Mzv, POK_KhZ:Derrota:Event_3/1/7:no
Stephanie Bowen:POK_vZp, POK_sDo, POK_oGZ:Victoria:Event_4/9/1:no
Richard Mcintyre:POK_McF, POK_Bvv, POK_HuH:Derrota:Event_7/4/0:si
Alan Jackson:POK_KTU, POK_UhQ, POK_Gim:Derrota:Event_3/8/5:no
Vincent Davis:POK_qhD, POK_RAq, POK_VEB:Derrota:Event_1/7/5:no
Patrick Foster:POK_Jwq, POK_yfo, POK_UfU:Derrota:Event_7/2/0:si
Patrick Ellis:POK_Xza, POK_iOJ, POK_Pga:Victoria:Event_8/4/9:si
Andrew Martinez:POK_ndY, POK_wxT, POK_fma:Victoria:Event_8/5/8:no
Meredith Miller:POK_KkT, POK_VEN, POK_vYb:Victoria:Event_5/8/6:no
Chelsea Padilla:POK_Hmy, POK_eUD, POK_AVM:Derrota:Event_6/4/7:no
Ricardo Lopez:POK_ACa, POK_Lyw, POK_nSc:Victoria:Event_7/0/1:no
Melissa Davis:POK_Lpl, POK_fTZ, POK_UiC:Victoria:Event_1/0/1:si
Daniel Hernandez:POK_bry, POK_CTl, POK_REi:Derrota:Event_4/3/3:si
Brenda Alvarez:POK_OhR, POK_rqq, POK_LGT:Victoria:Event_2/2/4:no
Bobby Morton:POK_AXq, POK_EzY, POK_eoF:Derrota:Event_5/4/0:si
Autumn Rivera:POK_ebo, POK_ISY, POK_LGc:Derrota:Event_7/3/5:no
Jodi Liu:POK_qfL, POK_Ydw, POK_APo:Derrota:Event_7/5/1:si
Alexa Reed:POK_NUA, POK_pCU, POK_qEY:Derrota:Event_9/5/4:si
Justin Sanchez:POK_pSB, POK_GkI, POK_eNP:Victoria:Event_8/1/2:no
Leroy Wagner:POK_Eeb, POK_Hyo, POK_zYF:Victoria:Event_0/4/2:si
George Allen:POK_oKy, POK_KPz, POK_bkD:Derrota:Event_1/1/2:no
Elizabeth Lowe:POK_jNK, POK_zgX, POK_cjC:Victoria:Event_4/5/9:si
Hunter Avila:POK_kHD, POK_IhS, POK_ftp:Derrota:Event_9/0/8:si
John Montgomery:POK_Ojh, POK_ZeT, POK_Qqm:Derrota:Event_7/1/6:si
Courtney Munoz:POK_Idg, POK_hOu, POK_qOy:Victoria:Event_8/8/7:no
Lori James:POK_DRm, POK_Cyz, POK_pHD:Victoria:Event_0/2/7:si
Susan Russell:POK_rHq, POK_eBt, POK_XtO:Victoria:Event_6/6/9:no
Kyle Hardy:POK_cmu, POK_Lsn, POK_Mkx:Derrota:Event_0/7/5:si
Angela Randall:POK_wxE, POK_Dhm, POK_fXq:Victoria:Event_1/9/9:si
Janet Hurley:POK_TiW, POK_XEz, POK_vPh:Victoria:Event_2/3/2:si
James Hanson:POK_QSj, POK_mQK, POK_QaD:Victoria:Event_7/6/1:no
Melissa Daniels:POK_bPq, POK_TNt, POK_EUK:Derrota:Event_8/5/8:si
Jennifer Ramos:POK_bze, POK_guh, POK_JwZ:Victoria:Event_9/4/6:no
Lori Miller:POK_jul, POK_hWP, POK_ZIa:Victoria:Event_4/5/7:si
Melissa Hartman:POK_tkr, POK_arK, POK_NlH:Victoria:Event_7/0/3:no
Gabrielle Martin:POK_ZnO, POK_SWf, POK_nof:Derrota:Event_7/8/5:no
Kathy Robinson:POK_usg, POK_bSZ, POK_lxe:Victoria:Event_4/0/3:no
Matthew Nelson:POK_LEc, POK_AQs, POK_NkD:Victoria:Event_2/6/0:si
Janice Maynard:POK_JFs, POK_aGi, POK_jmN:Victoria:Event_2/2/6:si
Brian Black:POK_hqW, POK_lVj, POK_tYA:Derrota:Event_4/1/9:si
Jeffery Wolfe:POK_hwA, POK_OeJ, POK_yaY:Derrota:Event_0/8/0:si
Mr. Jason Gaines:POK_PPb, POK_EbN, POK_Fbl:Derrota:Event_8/5/5:no
Peter Jordan:POK_YwJ, POK_Fcn, POK_yMw:Derrota:Event_0/8/7:no
Elijah Wilson:POK_pHn, POK_pOB, POK_BdQ:Victoria:Event_3/2/2:no
Sarah Martin:POK_xSy, POK_AJd, POK_Hpn:Victoria:Event_9/3/2:si
Stacey Brewer:POK_mLZ, POK_DHZ, POK_fmg:Derrota:Event_1/0/6:si
Susan Silva:POK_uQn, POK_HtH, POK_rQX:Derrota:Event_8/3/0:no
Kyle Singh:POK_ilh, POK_pVv, POK_dyS:Derrota:Event_7/3/4:si
Tracy Morrison:POK_AJM, POK_Nxk, POK_dQV:Victoria:Event_0/6/8:no
Jonathan Vargas:POK_lBB, POK_TVU, POK_idP:Derrota:Event_3/2/7:no
Christina Valencia:POK_MTd, POK_gwQ, POK_hiy:Derrota:Event_3/9/8:no
Jeffrey Johnson:POK_szm, POK_SHB, POK_Mod:Derrota:Event_1/8/5:si
Christopher Price:POK_zDh, POK_nov, POK_Mnc:Victoria:Event_6/5/7:si
Kevin Barrett:POK_NAe, POK_WLe, POK_Tar:Victoria:Event_5/1/4:si
Jeremy Campbell:POK_fXY, POK_LrE, POK_nDJ:Derrota:Event_0/8/8:no
John Woodard:POK_ffA, POK_Myt, POK_SIU:Derrota:Event_5/2/2:si
James Rodriguez:POK_Ipq, POK_XEf, POK_nIp:Victoria:Event_9/5/7:no
Mr. Keith Gould:POK_QzS, POK_pUo, POK_ZGt:Victoria:Event_2/6/5:si
Katherine Schmidt:POK_ZGP, POK_TfY, POK_EXR:Victoria:Event_9/4/0:si
Chloe Hernandez:POK_obh, POK_XwH, POK_xor:Victoria:Event_5/4/4:no
Patrick Roy PhD:POK_qYF, POK_KIt, POK_FDb:Victoria:Event_6/3/7:no
Jennifer Hodge:POK_gnG, POK_EuJ, POK_kKO:Victoria:Event_7/9/8:si
Jennifer Gray:POK_LZn, POK_ZeV, POK_XaQ:Derrota:Event_2/1/9:no
Stephen Murillo:POK_pOk, POK_jrT, POK_EAp:Derrota:Event_9/6/8:si
Rachel Mendoza:POK_cXe, POK_JVW, POK_QFg:Victoria:Event_6/6/5:si
Cindy Patrick:POK_bsG, POK_eHs, POK_xmU:Victoria:Event_5/1/3:no
Frank Ward:POK_kNA, POK_fts, POK_UOl:Derrota:Event_7/9/4:si
Heidi Cruz:POK_uZh, POK_SdL, POK_BwC:Victoria:Event_7/6/8:no
Amanda Little:POK_nXV, POK_tbX, POK_BAi:Derrota:Event_7/1/7:si
Charles Ward:POK_DOE, POK_QEY, POK_uwQ:Victoria:Event_4/7/0:si
Mary Harris:POK_CRB, POK_uiH, POK_QUl:Victoria:Event_8/5/8:si
Rachel Gilbert:POK_BUC, POK_RYO, POK_Ezj:Derrota:Event_8/2/6:no
Sarah Green:POK_Wcb, POK_wgY, POK_Mcm:Victoria:Event_7/3/3:si
Lori Miller:POK_fsq, POK_zJI, POK_JLh:Victoria:Event_4/5/7:si
Felicia Morris:POK_DVn, POK_pmH, POK_vuU:Victoria:Event_1/9/5:si
Melissa Harris:POK_MNM, POK_AQq, POK_oOE:Victoria:Event_9/0/4:si
Jack Walker:POK_dQO, POK_qZI, POK_vag:Derrota:Event_4/6/2:no
David Cummings:POK_cyA, POK_TiK, POK_EjK:Victoria:Event_6/5/5:no
Gloria Patton:POK_kow, POK_fOo, POK_QvV:Victoria:Event_6/2/0:si
Edward Nichols:POK_cDj, POK_ZNE, POK_KJy:Victoria:Event_5/2/5:no
Mrs. Marie Green:POK_jLh, POK_aJJ, POK_vEr:Victoria:Event_3/6/8:si
Kenneth Mitchell MD:POK_Utj, POK_uAh, POK_GwJ:Victoria:Event_5/9/7:si
Jeremy Harris:POK_YId, POK_OsE, POK_IMv:Derrota:Event_2/4/7:no
Kyle Chavez:POK_QRv, POK_Lfk, POK_XHo:Victoria:Event_3/5/7:si
Charles Rivera:POK_Xri, POK_KPs, POK_ZSv:Derrota:Event_5/1/2:si
Matthew Bennett:POK_rRF, POK_CMw, POK_Xvm:Derrota:Event_5/6/9:no
Dustin Gordon:POK_gvS, POK_Nxl, POK_ovk:Derrota:Event_4/2/0:si
Brandi Gutierrez:POK_nsi, POK_ifZ, POK_uom:Derrota:Event_5/4/3:no
Joseph Cannon:POK_NXA, POK_qOz, POK_lLo:Derrota:Event_7/3/1:no
Rachel Rodriguez:POK_BGL, POK_WCa, POK_pVW:Derrota:Event_0/0/7:no
Tricia Harris:POK_MRJ, POK_rSd, POK_rsO:Derrota:Event_9/1/5:no
Cindy Vance:POK_cGj, POK_IZE, POK_tkL:Derrota:Event_3/0/6:si
Robert Sparks:POK_eFI, POK_coZ, POK_inG:Derrota:Event_0/2/1:si
Christina Valdez:POK_Ots, POK_RUO, POK_eMD:Derrota:Event_4/5/2:no
Sharon Wilkins:POK_ryH, POK_gaR, POK_Lun:Derrota:Event_9/8/9:no
Michael Mccarty:POK_hsf, POK_xkm, POK_Hoe:Victoria:Event_1/3/4:no
Dr. Manuel Leon II:POK_aBG, POK_uhB, POK_hfP:Derrota:Event_8/6/1:si
Rachel Peterson:POK_WBL, POK_jKG, POK_Avy:Victoria:Event_2/9/3:no
Karina Harris:POK_xXa, POK_QyS, POK_xRP:Victoria:Event_1/6/8:si
Jason Blackwell:POK_ubU, POK_zQn, POK_vBt:Derrota:Event_1/5/5:no
Mackenzie Brooks:POK_LYT, POK_KFP, POK_vHf:Derrota:Event_1/2/7:no
Christopher Lee:POK_VRL, POK_iHv, POK_rHV:Derrota:Event_9/6/2:si
Felicia Wang:POK_qKv, POK_hfJ, POK_KYz:Derrota:Event_6/0/2:si
Brandon Dunn:POK_Xhs, POK_SGr, POK_cXF:Victoria:Event_8/5/4:no
Charles Tate:POK_PCI, POK_ddG, POK_eGw:Derrota:Event_2/7/4:no
Vanessa Scott:POK_XTv, POK_rWy, POK_dEn:Victoria:Event_4/3/1:si
Erin Colon:POK_gzq, POK_jkB, POK_aRY:Derrota:Event_4/8/0:no
Alexandra Smith:POK_yBy, POK_QiD, POK_KZr:Victoria:Event_2/4/8:no
George Jones:POK_mlm, POK_QpM, POK_WHd:Derrota:Event_0/4/1:no
Brenda Rogers:POK_loK, POK_mKa, POK_wTL:Derrota:Event_4/5/5:si
Sheri Hunter:POK_Par, POK_kxn, POK_VvL:Derrota:Event_5/6/2:no
Daniel Castillo:POK_wez, POK_wII, POK_rlI:Derrota:Event_7/9/3:si
Denise Mercado:POK_bcQ, POK_dof, POK_Doq:Victoria:Event_2/1/3:no
Mary Boone:POK_MXQ, POK_pBi, POK_xcv:Derrota:Event_6/1/9:si
Jeffrey Wilson:POK_bXz, POK_mKb, POK_mFs:Derrota:Event_8/7/9:no
Sandra Morales:POK_MgE, POK_ESJ, POK_SRf:Derrota:Event_7/1/8:si
George Craig:POK_sZd, POK_LaP, POK_EPm:Derrota:Event_8/9/4:no
Christine Christian:POK_Hcq, POK_Uok, POK_EIN:Victoria:Event_3/2/2:no
Christina Carter:POK_sJx, POK_tNL, POK_jAY:Victoria:Event_7/0/3:si
Jill Ochoa:POK_xBL, POK_ITv, POK_kgN:Victoria:Event_8/7/3:no
Meredith Charles:POK_ZwK, POK_ttX, POK_Ldg:Derrota:Event_8/1/6:no
Marcus Stephenson:POK_iQQ, POK_KHq, POK_VOJ:Victoria:Event_7/0/0:no
Randy Hill:POK_zid, POK_UZB, POK_YPb:Derrota:Event_6/5/2:no
Richard Cooke MD:POK_NMF, POK_WdT, POK_imB:Victoria:Event_0/3/2:si
Paula Allen:POK_yMc, POK_TlX, POK_SEH:Derrota:Event_7/1/0:no
Dr. Stephanie Taylor DVM:POK_xyA, POK_HHn, POK_JQU:Derrota:Event_0/6/5:no
Andrew Martin:POK_sKZ, POK_oyB, POK_whN:Derrota:Event_2/1/0:si
Ronald Pham:POK_eLv, POK_qbI, POK_Thz:Victoria:Event_2/9/1:si
Kenneth Graham:POK_WVI, POK_wHT, POK_Jyb:Derrota:Event_1/7/4:si
Elizabeth Smith:POK_gNY, POK_VlJ, POK_KFb:Victoria:Event_7/2/1:no
Crystal Roberts:POK_wAH, POK_xuK, POK_TZQ:Victoria:Event_8/0/0:si
Wendy Willis:POK_EmK, POK_rGu, POK_fmy:Derrota:Event_9/9/4:si
Victor Zimmerman:POK_PvZ, POK_HUI, POK_UlC:Victoria:Event_8/6/5:no
Erik Johnson:POK_OWV, POK_uKZ, POK_uxk:Victoria:Event_2/4/1:no
Gregory Drake:POK_ywD, POK_MHd, POK_Hzo:Derrota:Event_5/4/4:si
Laura Lamb:POK_qes, POK_Kqt, POK_Ghg:Derrota:Event_2/5/0:no
Teresa Bauer:POK_JgH, POK_UFc, POK_HmG:Derrota:Event_4/6/1:si
Justin Dennis:POK_mMS, POK_nef, POK_qve:Derrota:Event_7/5/4:si
Christine Norman:POK_iSN, POK_bPR, POK_gab:Derrota:Event_8/7/1:si
James Richards:POK_hOb, POK_BXq, POK_ohz:Derrota:Event_7/2/6:si
Jessica Bridges:POK_GWA, POK_rBB, POK_gSW:Victoria:Event_3/4/5:si
Michael Thompson:POK_aRG, POK_mGd, POK_hTv:Derrota:Event_2/5/7:no
Kevin Smith:POK_Ecz, POK_mlB, POK_SSb:Derrota:Event_7/1/4:no
Colleen Gibson:POK_STh, POK_orQ, POK_IcL:Derrota:Event_2/2/5:no
Tara Hernandez:POK_NhE, POK_okZ, POK_KWV:Victoria:Event_8/4/2:si
Christine Turner:POK_Lrd, POK_USX, POK_Qrp:Derrota:Event_9/2/8:si
Helen Brown:POK_ajj, POK_yLq, POK_vyC:Derrota:Event_3/7/0:no
Matthew Spencer:POK_usY, POK_aNC, POK_raI:Derrota:Event_8/2/7:si
Joseph Brown MD:POK_gEw, POK_TPy, POK_Vee:Derrota:Event_7/1/3:si
Nicole Wilson:POK_Mxo, POK_anY, POK_tLG:Victoria:Event_5/9/5:si
Angela Savage:POK_YXp, POK_FXS, POK_KVE:Victoria:Event_0/3/4:si
Miguel Allen:POK_dUV, POK_uRM, POK_CqG:Victoria:Event_6/5/1:no
Brenda Salas:POK_dyU, POK_JRx, POK_jjb:Derrota:Event_5/8/0:no
George Bradley:POK_LEQ, POK_DPZ, POK_pdg:Victoria:Event_6/1/6:no
Sarah Rios:POK_XgX, POK_WGJ, POK_eIu:Victoria:Event_6/5/9:no
Mr. Jacob Morgan:POK_NRW, POK_pEg, POK_wMu:Victoria:Event_1/3/7:no
Michelle Simmons:POK_DXP, POK_WzV, POK_IOj:Derrota:Event_0/6/6:si
Dakota Whitney:POK_OVW, POK_Wcu, POK_Mob:Victoria:Event_5/3/9:no
Kellie Dixon:POK_HjW, POK_tFy, POK_CWW:Victoria:Event_6/2/6:no
Amy Osborne:POK_kWR, POK_RDP, POK_icE:Derrota:Event_1/9/6:si
Ann Cruz:POK_qFt, POK_tzK, POK_yKq:Derrota:Event_8/2/7:no
Kathy Martinez:POK_DpZ, POK_ygI, POK_QMq:Victoria:Event_9/0/8:no
Ryan Williams:POK_RnU, POK_qpz, POK_CYj:Derrota:Event_7/2/4:no
Richard Hall:POK_Mxo, POK_zII, POK_nKY:Derrota:Event_0/5/2:si
Brittany Ward:POK_WMN, POK_RRh, POK_FAi:Victoria:Event_6/0/6:no
Thomas Bowen:POK_xiR, POK_Qgt, POK_fiw:Derrota:Event_6/6/3:no
Ashley Brooks:POK_lVM, POK_EIn, POK_PIQ:Victoria:Event_1/3/5:si
Christopher Graves:POK_NmW, POK_wIb, POK_FJO:Victoria:Event_1/3/7:no
Natasha Woodward DDS:POK_kPJ, POK_jgu, POK_noj:Derrota:Event_4/2/3:si
Christopher Martinez:POK_VPG, POK_eOA, POK_LEY:Derrota:Event_8/0/8:si
Ashley Bentley:POK_MEo, POK_dRM, POK_KBk:Derrota:Event_7/9/6:no
Larry Lopez:POK_Nue, POK_qgb, POK_omI:Victoria:Event_3/3/8:no
Margaret Berry:POK_xac, POK_woG, POK_PUq:Derrota:Event_1/4/5:si
Miguel Garcia:POK_jtx, POK_TkX, POK_twK:Victoria:Event_6/4/5:no
James Meza:POK_gCg, POK_mco, POK_xzP:Victoria:Event_6/7/9:no
Keith Davis:POK_mxr, POK_IAY, POK_ooP:Victoria:Event_9/8/9:no
Maria Salas:POK_VJw, POK_cTY, POK_COQ:Victoria:Event_5/9/2:no
Melissa Oliver:POK_LfR, POK_JqK, POK_ZTS:Victoria:Event_6/0/7:no
Jordan Burnett:POK_XCF, POK_kvi, POK_Ccp:Victoria:Event_3/1/6:no
Samantha Smith:POK_rPw, POK_xkh, POK_Vmw:Victoria:Event_6/8/1:si
Justin Harrison:POK_yfb, POK_Hxi, POK_grA:Derrota:Event_2/8/0:si
Lisa Perez:POK_IUT, POK_OHa, POK_OIx:Victoria:Event_9/5/2:no
Margaret Brown:POK_Ldf, POK_MMK, POK_AJT:Derrota:Event_0/5/9:no
Paul Shea:POK_DFj, POK_mTU, POK_BHW:Victoria:Event_1/7/4:si
Stephanie Bradley:POK_Qjr, POK_GID, POK_SsE:Derrota:Event_7/6/0:si
Amy Ali:POK_XtT, POK_XTd, POK_jir:Derrota:Event_4/4/0:no
Ryan Buchanan:POK_ZMP, POK_WfZ, POK_jiM:Derrota:Event_8/2/6:si
Michael Brown:POK_ahJ, POK_unI, POK_oFa:Derrota:Event_4/8/4:no
Charles Ruiz:POK_TkK, POK_TqN, POK_sfj:Victoria:Event_2/4/9:si
David Gonzalez:POK_xLg, POK_Jrr, POK_ciL:Derrota:Event_6/6/5:si
Lindsey Wood:POK_Rax, POK_jRy, POK_YnH:Victoria:Event_1/1/4:no
Kathleen Dyer:POK_hrI, POK_Loc, POK_kQI:Victoria:Event_8/0/9:si
John Castro:POK_lKc, POK_UHs, POK_kHt:Victoria:Event_5/9/9:si
Sean Davis:POK_PaF, POK_JEC, POK_Qwp:Victoria:Event_5/1/2:no
Kevin Allen:POK_FFr, POK_qsS, POK_Uzt:Derrota:Event_6/3/6:si
Christina Ramirez:POK_aQS, POK_Krr, POK_sps:Victoria:Event_6/8/7:no
Cindy Wang:POK_xHy, POK_HkM, POK_ZyY:Derrota:Event_6/3/7:si
Michael Briggs:POK_LZn, POK_eIH, POK_KhK:Victoria:Event_9/6/1:si
Jose Lloyd:POK_fyD, POK_IDW, POK_war:Victoria:Event_1/4/4:si
Rebecca Porter:POK_jHj, POK_OsK, POK_AsD:Derrota:Event_5/7/4:si
Mark Petersen:POK_FRV, POK_CRE, POK_KTU:Derrota:Event_0/9/0:si
Lindsay Morris:POK_aIN, POK_XLR, POK_PCv:Derrota:Event_8/2/7:si
Mrs. Elizabeth Thompson:POK_pLD, POK_vHS, POK_ccx:Derrota:Event_3/0/2:si
Kathryn Kelley:POK_UqN, POK_vMY, POK_whD:Derrota:Event_9/2/8:si
Rebecca Myers:POK_dcn, POK_MZU, POK_UVh:Victoria:Event_1/0/1:no
Samantha Howe:POK_nQj, POK_LQB, POK_XMF:Victoria:Event_5/7/6:si
Michelle Walters:POK_zTY, POK_Ewz, POK_Raf:Derrota:Event_9/4/8:no
Bonnie Lin:POK_fqu, POK_NvB, POK_HaZ:Victoria:Event_3/9/8:no
Michelle Morrow:POK_iuL, POK_JES, POK_jiG:Derrota:Event_2/0/2:si
Jamie Melton:POK_iZt, POK_ZGj, POK_kjE:Derrota:Event_6/9/6:no
Bethany Davidson:POK_VwZ, POK_okU, POK_HNL:Derrota:Event_0/6/1:si
Dawn Cruz:POK_ler, POK_oMM, POK_qRf:Victoria:Event_3/7/6:no
Stanley Salinas:POK_Lcy, POK_ZJM, POK_yJP:Derrota:Event_6/1/4:si
Aaron Johnson:POK_jKe, POK_zlF, POK_HlY:Derrota:Event_5/3/1:no
Leah Vasquez:POK_jyF, POK_XIC, POK_YOU:Victoria:Event_5/1/7:no
Matthew Wilson:POK_zOn, POK_EEp, POK_ftl:Derrota:Event_7/8/0:no
Jeremy Bridges:POK_IzF, POK_fah, POK_RId:Victoria:Event_5/5/3:si
Albert Carpenter:POK_YQi, POK_bNS, POK_ruh:Derrota:Event_3/6/8:no
Andrew Williams:POK_HrR, POK_CHY, POK_fRJ:Derrota:Event_3/4/1:no
Cindy Kelly:POK_oLu, POK_Ohc, POK_TMw:Victoria:Event_8/8/5:si
Dr. Lisa Chang:POK_uLX, POK_euy, POK_DIw:Victoria:Event_8/2/7:si
Tiffany Glover:POK_Vml, POK_QOc, POK_kzv:Derrota:Event_3/4/6:si
Gary Young:POK_iLd, POK_BJt, POK_lTd:Derrota:Event_1/9/8:no
Bryce Harrell:POK_PFL, POK_OdH, POK_ctD:Victoria:Event_8/1/0:si
James Kennedy:POK_QFE, POK_trp, POK_DPo:Victoria:Event_8/5/7:si
Brett Walter:POK_ofK, POK_fOw, POK_Gnv:Derrota:Event_9/7/1:si
Kristen Richardson:POK_Wer, POK_cZh, POK_Ktr:Derrota:Event_1/8/9:si
Katherine Norris:POK_QPq, POK_MVY, POK_rUZ:Victoria:Event_1/0/9:si
Gina Williams:POK_kXQ, POK_Mlo, POK_GHX:Victoria:Event_1/1/1:no
Jeffery Hutchinson:POK_mWv, POK_Reg, POK_cue:Derrota:Event_9/0/0:no
Allison Navarro:POK_Mzw, POK_kTp, POK_GAo:Victoria:Event_5/5/1:no
Frank Burnett:POK_wPn, POK_Nau, POK_Vea:Derrota:Event_7/4/0:si
Keith Nguyen:POK_NOw, POK_MTM, POK_pRl:Derrota:Event_3/8/4:no
Stephen Wright:POK_Osj, POK_CoH, POK_Iug:Derrota:Event_7/4/3:no
Michael Peterson:POK_Wzi, POK_SNy, POK_sqm:Victoria:Event_6/6/9:no
Miguel Jensen:POK_Hcs, POK_PnW, POK_OeF:Victoria:Event_9/5/6:no
Matthew Peters:POK_ZKz, POK_NuR, POK_gYy:Derrota:Event_3/4/3:no
Jean Christensen:POK_OCP, POK_Neq, POK_rDv:Derrota:Event_6/0/0:si
Eric Rice:POK_rYv, POK_Pjp, POK_dDN:Victoria:Event_7/2/2:si
Matthew Bruce:POK_QJk, POK_frN, POK_bgl:Derrota:Event_2/3/7:no
Jeffrey Mclaughlin:POK_VxE, POK_Miu, POK_rgM:Derrota:Event_0/4/2:si
William Morris:POK_AVQ, POK_gRr, POK_cEW:Derrota:Event_6/2/2:si
Mason Collins:POK_MxY, POK_Qwn, POK_tiZ:Victoria:Event_5/1/4:no
Dennis Mckay:POK_ogL, POK_xNm, POK_efK:Victoria:Event_5/7/3:si
Trevor Padilla:POK_pyY, POK_MAO, POK_qkk:Victoria:Event_8/9/7:si
Lori Gomez:POK_HHD, POK_TyG, POK_WKC:Victoria:Event_7/0/2:no
Clifford Schneider:POK_GRB, POK_glW, POK_LLA:Derrota:Event_7/4/2:no
Phillip Smith:POK_PgA, POK_qdw, POK_byE:Victoria:Event_8/5/2:no
Taylor Patterson:POK_ilU, POK_NsE, POK_Ibv:Victoria:Event_6/6/2:si
